+-------------------------------------+-----------+-----------+------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id                                  | estRows   | task      | access object                                                                                                                            | operator info                                                                                                                                                                                                                          |
+-------------------------------------+-----------+-----------+------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Window_89                           | 6019.48   | root      |                                                                                                                                          | row_number()->Column#63 over(partition by gharchive_dev.github_events.event_year order by Column#61 desc rows between current row and current row)                                                                                     |
| └─Sort_91                           | 6019.48   | root      |                                                                                                                                          | gharchive_dev.github_events.event_year, Column#61:desc                                                                                                                                                                                 |
|   └─CTEFullScan_90                  | 6019.48   | root      | CTE:acc_dist                                                                                                                             | data:CTE_2                                                                                                                                                                                                                             |
| CTE_2                               | 6019.48   | root      |                                                                                                                                          | Non-Recursive CTE                                                                                                                                                                                                                      |
| └─Sort_75(Seed Part)                | 6019.48   | root      |                                                                                                                                          | gharchive_dev.github_events.event_year                                                                                                                                                                                                 |
|   └─Projection_77                   | 6019.48   | root      |                                                                                                                                          | gharchive_dev.github_events.event_year, Column#56, any_value(Column#57)->Column#58                                                                                                                                                     |
|     └─HashAgg_78                    | 6019.48   | root      |                                                                                                                                          | group by:Column#56, gharchive_dev.github_events.event_year, funcs:firstrow(gharchive_dev.github_events.event_year)->gharchive_dev.github_events.event_year, funcs:firstrow(Column#56)->Column#56, funcs:firstrow(Column#57)->Column#57 |
|       └─CTEFullScan_79              | 6019.48   | root      | CTE:acc                                                                                                                                  | data:CTE_1                                                                                                                                                                                                                             |
| CTE_1                               | 6019.48   | root      |                                                                                                                                          | Non-Recursive CTE                                                                                                                                                                                                                      |
| └─Projection_66(Seed Part)          | 6019.48   | root      |                                                                                                                                          | gharchive_dev.github_events.event_year, Column#48, Column#51                                                                                                                                                                           |
|   └─Sort_67                         | 6019.48   | root      |                                                                                                                                          | gharchive_dev.github_events.event_year                                                                                                                                                                                                 |
|     └─Shuffle_74                    | 6019.48   | root      |                                                                                                                                          | execution info: concurrency:5, data sources:[Selection_71]                                                                                                                                                                             |
|       └─Window_69                   | 6019.48   | root      |                                                                                                                                          | count(gharchive_dev.github_events.number)->Column#51 over(partition by Column#48 order by gharchive_dev.github_events.event_year range between unbounded preceding and current row)                                                    |
|         └─Sort_73                   | 6019.48   | root      |                                                                                                                                          | Column#48, gharchive_dev.github_events.event_year                                                                                                                                                                                      |
|           └─Selection_71            | 6019.48   | root      |                                                                                                                                          | eq(Column#49, 1)                                                                                                                                                                                                                       |
|             └─CTEFullScan_72        | 7524.35   | root      | CTE:pr_with_latest_repo_name                                                                                                             | data:CTE_0                                                                                                                                                                                                                             |
| CTE_0                               | 7524.35   | root      |                                                                                                                                          | Non-Recursive CTE                                                                                                                                                                                                                      |
| └─Projection_31(Seed Part)          | 7524.35   | root      |                                                                                                                                          | gharchive_dev.github_events.event_year, gharchive_dev.github_events.number, Column#40, Column#41                                                                                                                                       |
|   └─Window_33                       | 7524.35   | root      |                                                                                                                                          | row_number()->Column#41 over(partition by gharchive_dev.github_events.number rows between current row and current row)                                                                                                                 |
|     └─Sort_65                       | 7524.35   | root      |                                                                                                                                          | gharchive_dev.github_events.number                                                                                                                                                                                                     |
|       └─Window_34                   | 7524.35   | root      |                                                                                                                                          | first_value(gharchive_dev.github_events.repo_name)->Column#40 over(partition by gharchive_dev.github_events.repo_id order by gharchive_dev.github_events.created_at desc range between unbounded preceding and current row)            |
|         └─Sort_64                   | 7524.35   | root      |                                                                                                                                          | gharchive_dev.github_events.repo_id, gharchive_dev.github_events.created_at:desc                                                                                                                                                       |
|           └─HashJoin_36             | 7524.35   | root      |                                                                                                                                          | CARTESIAN anti semi join, other cond:eq(gharchive_dev.github_events.actor_login, gharchive_dev.blacklist_users.login)                                                                                                                  |
|             ├─IndexReader_61(Build) | 1.00      | root      |                                                                                                                                          | index:IndexFullScan_60                                                                                                                                                                                                                 |
|             │ └─IndexFullScan_60    | 1.00      | cop[tikv] | table:bu, index:blacklist_users_login_uindex(login)                                                                                      | keep order:false                                                                                                                                                                                                                       |
|             └─IndexLookUp_55(Probe) | 9405.43   | root      | partition:pull_request_event                                                                                                             |                                                                                                                                                                                                                                        |
|               ├─Selection_53(Build) | 118682.38 | cop[tikv] |                                                                                                                                          | not(like(gharchive_dev.github_events.actor_login, "%bot%", 92))                                                                                                                                                                        |
|               │ └─IndexRangeScan_51 | 148352.98 | cop[tikv] | table:github_events, index:index_github_events_on_repo_id_type_action_month_actor_login(repo_id, type, action, event_month, actor_login) | range:[16563587 "PullRequestEvent",16563587 "PullRequestEvent"], [41986369 "PullRequestEvent",41986369 "PullRequestEvent"], [105944401 "PullRequestEvent",105944401 "PullRequestEvent"], keep order:false                              |
|               └─Selection_54(Probe) | 9405.43   | cop[tikv] |                                                                                                                                          | eq(gharchive_dev.github_events.state, "open")                                                                                                                                                                                          |
|                 └─TableRowIDScan_52 | 118682.38 | cop[tikv] | table:github_events                                                                                                                      | keep order:false                                                                                                                                                                                                                       |
+-------------------------------------+-----------+-----------+------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
